case_id,0,1,5
#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax,False,False,False
@AaliyahLove69 I would be intimidated but I would like to think I would have manned up and helped.,True,True,True
@AttentiAlGatto LOL! Why would it scare me? It doesn't make any sense at all but it doesn't scare me! {chuckles},False,False,False
@Bridget_Jones was joyous. Worried I would be disappointed. Most definitely was not. #chickflick #giggles #comethefuckonbridget,True,True,True
@CNNPolitics I can't wait to hear what he had to say about the brilliant Dr. Hawking... it should be rich... In the poorest of taste! #bully,False,False,False
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",False,False,False
@ChrissyCostanza and have social anxiety. There is many awkward things wrong with me. 😄,False,False,False
"@CovinoandRich just heard back2back,  guess that's why they call it the blues &amp; she's got the look, but I can only sing tickle sacks version",False,True,True
"@CozanGaming that's what lisa asked before she started raging at me, 'can I call you?' heh",False,False,True
@DJ_JeanFranko growl!!!,True,True,True
@DailyMirror i love how theres no outrage that it's a white man but if it was a black man them BLM would be all over it regardless of reason,True,True,True
"@Eeevah14 don't I know it, try not to fret my sweet little pupper",False,False,False
@FFBren @CDCarter13 included for maximum #sadness,True,True,True
@Gronnhair @buryprofs @DittoBistro it was indeed lovely and the team were incredibly attentive and on the ball. Cheese was a lively gesture!,True,True,True
@HunterDean_ [he gives a gleeful squeak and wraps around you] All mine!,True,True,True
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,False,False,True
"@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay ",False,False,True
"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",False,False,False
@OHSOVICTORIOUS_ @FaZeAdapt We all seen it coming.. it's sad. But her Instagram comments on her pics are funny. Adapts fans blew it up 😂😂😂,False,True,True
"@PhilGlutting Hey There Phil Glutting thank you for following us, it's appreciated :) #smile",True,True,True
@RyanAbe awe yay thank god I was so worried.,False,False,False
@SSheil coincidentally watched Ulzana's Raid last night - brutally indignant filmmaking.,True,True,True
@TrueAggieFan oh so that's where Brian was! Where was my invite? #offended,True,True,True
@TrussElise Obama must be fuming.. lol,False,True,True
"@Yoshi_OnoChin can you please not have Canadian players play US players, that lag  is atrocious. #fixthisgame #trash #sfvrefund ",True,True,True
"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. #hilarious",True,False,False
"@diehimbeertonis She developed her 'forced smile'. I can force myself to describe it 'a little hearty maybe, sanki biraz':)",True,False,False
@hesham786 that's the spirit ,True,True,True
@isthataspider @dhodgs i will fight this guy! Don't insult the lions like that! But seriously they kinda are.Wasted some of the best players,True,True,True
@pmo100 @5liveSport .....I heard talk something is a miss. He looks weary.,True,True,True
"@stephenfhayes Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military",False,False,False
"@theclobra lol I thought maybe, couldn't decide if there was levity or not",True,True,False
@tomderivan73 😁...I'll just people watch and enjoy a rare show of optimism,True,True,True
An adviser to the #European #Union’s top #court said #Hamas and the #Tamil #Tigers should be taken off the EU’s #terror list.#lka,False,False,False
